year,month,branch_id,salary_per_hour
2019,9,1,833333.3333333334
2019,10,1,833333.3333333334
2020,1,1,1555555.5555555555
2020,4,1,365853.65853658534
2020,5,3,1136363.6363636365
2020,5,1,430348.25870646763
2020,5,2,1166666.6666666667
2020,6,2629,79399.14163090129
2020,6,3,74285.71428571429
2020,6,1,58923.129021334236
2020,6,2,68660.48862679023
2020,6,2623,205714.2857142857
2020,7,2,51050.31753786028
2020,7,2633,64366.63233779609
2020,7,3,48761.60990712074
2020,7,2590,52178.318135764945
2020,7,2623,43229.42036044812
2020,7,3092,38429.7520661157
2020,7,1,47538.519353626456
2020,7,2625,52307.692307692305
2020,7,2635,39115.6462585034
2020,7,2629,58213.25648414985
2020,7,2630,55612.770339855815
2020,7,2626,46247.8184991274
2020,7,2631,47668.39378238342
2020,8,2623,45239.968528717545
2020,8,2635,47817.047817047816
2020,8,2630,58568.32971800434
2020,8,3,55391.43279172821
2020,8,2590,56407.44797371303
2020,8,2,60791.15764979639
2020,8,2625,54779.806659505906
2020,8,2626,46491.228070175435
2020,8,1,56050.06954102921
2020,8,12722,38461.53846153846
2020,8,2633,66137.56613756614
2020,8,2631,50163.57688113413
2020,8,3092,43950.85066162571
2020,8,11265,1222222.2222222222
2020,8,2629,62771.908017402115
2020,9,2590,53617.90733992712
2020,9,1,47248.59855851733
2020,9,3092,40224.91349480969
2020,9,2635,39792.3875432526
2020,9,2623,40934.97864261984
2020,9,2,55320.275277924826
2020,9,2629,57615.516257843694
2020,9,12722,34825.87064676617
2020,9,2633,67640.69264069264
2020,9,2630,57507.987220447285
2020,9,3,45072.11538461538
2020,9,2626,46369.20384951881
2020,9,11265,49773.755656108595
2020,9,2631,48936.17021276596
2020,9,2625,53911.20507399577
2020,10,2630,57815.84582441113
2020,10,12722,34825.87064676617
2020,10,11265,58823.529411764706
2020,10,1,54899.27878637155
2020,10,2631,48016.701461377874
2020,10,2626,45967.042497831746
2020,10,2633,66773.50427350428
2020,10,2625,49756.09756097561
2020,10,3,53802.008608321376
2020,10,3092,41295.16658845612
2020,10,2635,39115.6462585034
2020,10,2629,64126.98412698413
2020,10,2590,51724.137931034486
2020,10,2623,43088.73720136519
2020,10,2,54958.183990442056
2020,11,11265,55555.555555555555
2020,11,12722,47297.2972972973
2020,11,1,50114.720444390776
2020,11,2625,78341.0138248848
2020,11,2630,88379.705400982
2020,11,2,52243.04372515616
2020,11,3,50133.689839572195
2020,11,3092,63953.48837209302
2020,11,2590,68493.1506849315
2020,11,2623,60575.76969212315
2020,11,2633,99364.06995230525
2020,11,2635,62670.29972752043
2020,11,2626,66834.80453972258
2020,11,2631,66763.42525399128
2020,11,2629,67243.67509986684
2020,12,11265,64705.882352941175
2020,12,3,72533.84912959381
2020,12,2626,118131.86813186813
2020,12,2623,119651.92168237854
2020,12,2629,107214.42885771544
2020,12,1,84876.8573173214
2020,12,2633,166223.40425531915
2020,12,2,72383.94964594807
2020,12,3092,119230.76923076923
2020,12,2631,130681.81818181818
2020,12,2630,141732.28346456692
2020,12,2625,120853.08056872038
2020,12,2590,127475.24752475247
2020,12,2635,99397.59036144578
2020,12,12722,67961.16504854368
